KIR2DL1,KIR2DL2,KIR2DL3,KIR2DL4,KIR2DL5A,KIR2DL5B,KIR3DL1,KIR3DL2,KIR3DL3,KIR2DS1,KIR2DS2,KIR2DS3,KIR2DS4,KIR2DS5,KIR3DS1
IIIIIIIII,IIIIIIII,IIIIIIII,IIIISII,IIIIIII,IIIIIII,IIIIISIII,IIISIIIII,IIIIIII,IIIIIIII,IIIIIIISI,IIIIIIII,IIIIIIII,IIIIIIII,IISIIIII
IIIIISIII,IIIIIIII,IIIIIIII,IISISII,IIIIIII,,IISIIIIII,IIIIIIIII,IIIIIII,IIIIIIII,IIIIIIIIS,IIIIIIII,IIIISISS,IIIIIIII,IIIIIIII
IIIISSIII,IIIIIIII,IIIIIIII,IIISSII,IIIIIII,,IIIIIIIII,IIISIIIII,IIIIIII,IIIIIIII,IIIIIIIII,IIIIIIII,IIIIIIII,IIIIIIII,ISSIIIII
IIIIIIIII,IIIISIII,IIIIIIII,IIIIIIS,IIIIIII,,IIIIIIIII,IIIIIIIII,IIIIIII,IIIIIIII,IIIIIIIII,IIIIIIII,IIIIIIII,IIIIIIII,IISIIIII
IIIIISIII,IISIIIII,IIIIIIII,IIIIIII,IIIIIII,,IIIIIIIII,IIIIISIII,IIIIIII,IIIIIIII,SIIIIISII,IIIIIIII,IIIIIIII,IIIIIIII,IIIIIIII
IIIIIIIII,,IIIIIIII,IISSSII,IIIIIII,,IIIIIIIII,IIIIIIIII,IIIIIII,IIIIIIII,SIIISIIII,IIIIIIII,IIIIIIII,IIIIIIII,ISSIIIII
IIIIIIIII,,IIIIIIII,IIISIII,IIIIIII,,IIIIIIIII,IIIIISIII,IIIIIII,IIIIIIII,ISIIIIIII,IIIIIIII,IIIIIIII,IIIIIIII,IIIIIIII
IIIIIIIII,,IIIIIIII,IIIIIII,IIIIIII,,IIISIIIII,IIIIIIIII,IIIIIII,IISIIIII,SIIIIIIII,IIIIIIII,IIIIIIII,IIIIIIII,
IIIIIIIII,,IIIIIIII,IIIIIII,IIIIIII,,IIIIIIIII,IIIIISIII,IIIIIII,IISIIIII,SIIISIIII,IIIIIIII,IIIIIIII,,
IIISIIIII,,IIIIIIII,IIIISII,IIIIIII,,IIISIIIII,IIIIIIIII,IIIIIII,,SIIIIIIII,,IIIISISS,,
IIIIIIIII,,IIIIIIII,IISIIII,IIIIIII,,IIIIISIII,IIISIIIII,IIIIIII,,ISIIIIIII,,IIIIIIII,,
IIIIIIIII,,IIIIIIII,IIIIIII,,,IIIIIIIII,IIIIIIIII,IIIIIII,,SIIIIIIII,,IIIISISS,,
IIIIIIIII,,IIIIIIII,IISIIII,,,IIIIISIII,IIISIIIII,IIIIIII,,IIIIIIIII,,IIIIIIII,,
IIIIIIIII,,IIIIIIII,IIIIIII,,,IIIIIIIII,IIIIIIIII,IIIIIII,,IIIIIIIII,,IIIISISS,,
IIIIISIII,,IIIIIIII,IIIIIII,,,IIISIIIII,IIISIIIII,IIIIIII,,IIIIIIIII,,IIIIIIII,,
IIIIIIIII,,IIIIIIII,IIIIIII,,,IIIIIIIII,IIIIIIIII,IIIIIII,,IIIIIIIII,,IIIIIIII,,
IISIIIIII,,IIIIIIII,IISIIII,,,IIISIIIII,IIISIIIII,IIIIIII,,IIIIIIIII,,IIIISISS,,
IIIIIIIII,,IIIIIIII,IIIIIII,,,IIIIIIIII,IIIIIIIII,IIIIIII,,IIIIIISII,,IIIISISS,,
IIIIIIIII,,IIIIIIII,IIIIIII,,,IIIIISIII,IIISIIIII,IIIIIII,,IIIIIIIII,,IIIISIII,,
IIISIIIII,,IIIIIIII,IIIIIII,,,IIIIIIIII,IIIIIIIII,IIIIIII,,IIISIIIII,,IIIISIII,,
IIIIIIIII,,IIIIIIII,IISIIII,,,IISIIIIII,IIISIIIII,IIIIIII,,,,IIIIIIII,,
