gene,n_components,isoforma,cetnost_trenovaci,cetnost_generovana
KIR2DL1,2,IIIIIIIII,0.625,0.66592
KIR2DL1,2,IIIIISIII,0.22916666666666666,0.03063
KIR2DL1,2,IIIISSIII,0.020833333333333332,0.00161
KIR2DL1,2,IIISIIIII,0.08333333333333333,0.03033
KIR2DL1,2,IISIIIIII,0.041666666666666664,0.0296
KIR2DL1,4,IIIIIIIII,0.625,0.67239
KIR2DL1,4,IIIIISIII,0.22916666666666666,0.05803
KIR2DL1,4,IIIISSIII,0.020833333333333332,0.00255
KIR2DL1,4,IIISIIIII,0.08333333333333333,0.05804
KIR2DL1,4,IISIIIIII,0.041666666666666664,0.00873
KIR2DL1,6,IIIIIIIII,0.625,0.62644
KIR2DL1,6,IIIIISIII,0.22916666666666666,0.062
KIR2DL1,6,IIIISSIII,0.020833333333333332,0.00342
KIR2DL1,6,IIISIIIII,0.08333333333333333,0.07296
KIR2DL1,6,IISIIIIII,0.041666666666666664,0.02166
KIR2DL1,8,IIIIIIIII,0.625,0.61982
KIR2DL1,8,IIIIISIII,0.22916666666666666,0.0669
KIR2DL1,8,IIIISSIII,0.020833333333333332,0.00228
KIR2DL1,8,IIISIIIII,0.08333333333333333,0.06704
KIR2DL1,8,IISIIIIII,0.041666666666666664,0.01759
KIR2DL1,10,IIIIIIIII,0.625,0.61219
KIR2DL1,10,IIIIISIII,0.22916666666666666,0.20821
KIR2DL1,10,IIIISSIII,0.020833333333333332,0.00504
KIR2DL1,10,IIISIIIII,0.08333333333333333,0.07972
KIR2DL1,10,IISIIIIII,0.041666666666666664,0.02514
KIR2DL1,12,IIIIIIIII,0.625,0.61687
KIR2DL1,12,IIIIISIII,0.22916666666666666,0.24406
KIR2DL1,12,IIIISSIII,0.020833333333333332,0.00278
KIR2DL1,12,IIISIIIII,0.08333333333333333,0.077
KIR2DL1,12,IISIIIIII,0.041666666666666664,0.03171
KIR2DL1,14,IIIIIIIII,0.625,0.62006
KIR2DL1,14,IIIIISIII,0.22916666666666666,0.23844
KIR2DL1,14,IIIISSIII,0.020833333333333332,0.01347
KIR2DL1,14,IIISIIIII,0.08333333333333333,0.07529
KIR2DL1,14,IISIIIIII,0.041666666666666664,0.02821
KIR2DL1,16,IIIIIIIII,0.625,0.62875
KIR2DL1,16,IIIIISIII,0.22916666666666666,0.23081
KIR2DL1,16,IIIISSIII,0.020833333333333332,0.01936
KIR2DL1,16,IIISIIIII,0.08333333333333333,0.07282
KIR2DL1,16,IISIIIIII,0.041666666666666664,0.04291
KIR2DL1,18,IIIIIIIII,0.625,0.62659
KIR2DL1,18,IIIIISIII,0.22916666666666666,0.23081
KIR2DL1,18,IIIISSIII,0.020833333333333332,0.02035
KIR2DL1,18,IIISIIIII,0.08333333333333333,0.07789
KIR2DL1,18,IISIIIIII,0.041666666666666664,0.03986
KIR2DL1,20,IIIIIIIII,0.625,0.62179
KIR2DL1,20,IIIIISIII,0.22916666666666666,0.23196
KIR2DL1,20,IIIISSIII,0.020833333333333332,0.01902
KIR2DL1,20,IIISIIIII,0.08333333333333333,0.08212
KIR2DL1,20,IISIIIIII,0.041666666666666664,0.04178
