gene,n_components,isoforma,cetnost_trenovaci,cetnost_generovana
KIR2DS2,2,IIIIIIIII,0.4,0.4567
KIR2DS2,2,IIIIIIIIS,0.05,0.04095
KIR2DS2,2,IIIIIIISI,0.05,0.04124
KIR2DS2,2,IIIIIISII,0.05,0.04129
KIR2DS2,2,IIISIIIII,0.05,0.04115
KIR2DS2,2,ISIIIIIII,0.1,0.04079
KIR2DS2,2,SIIIIIIII,0.15,0.04264
KIR2DS2,2,SIIIIISII,0.05,0.00393
KIR2DS2,2,SIIISIIII,0.1,0.00404
KIR2DS2,4,IIIIIIIII,0.4,0.43559
KIR2DS2,4,IIIIIIIIS,0.05,0.0183
KIR2DS2,4,IIIIIIISI,0.05,0.03661
KIR2DS2,4,IIIIIISII,0.05,0.01732
KIR2DS2,4,IIISIIIII,0.05,0.03815
KIR2DS2,4,ISIIIIIII,0.1,0.03739
KIR2DS2,4,SIIIIIIII,0.15,0.18473
KIR2DS2,4,SIIIIISII,0.05,0.02227
KIR2DS2,4,SIIISIIII,0.1,0.02247
KIR2DS2,6,IIIIIIIII,0.4,0.38268
KIR2DS2,6,IIIIIIIIS,0.05,0.03035
KIR2DS2,6,IIIIIIISI,0.05,0.0324
KIR2DS2,6,IIIIIISII,0.05,0.03458
KIR2DS2,6,IIISIIIII,0.05,0.03498
KIR2DS2,6,ISIIIIIII,0.1,0.0739
KIR2DS2,6,SIIIIIIII,0.15,0.20334
KIR2DS2,6,SIIIIISII,0.05,0.01871
KIR2DS2,6,SIIISIIII,0.1,0.02151
KIR2DS2,8,IIIIIIIII,0.4,0.43141
KIR2DS2,8,IIIIIIIIS,0.05,0.0235
KIR2DS2,8,IIIIIIISI,0.05,0.03074
KIR2DS2,8,IIIIIISII,0.05,0.02342
KIR2DS2,8,IIISIIIII,0.05,0.03239
KIR2DS2,8,ISIIIIIII,0.1,0.06217
KIR2DS2,8,SIIIIIIII,0.15,0.17923
KIR2DS2,8,SIIIIISII,0.05,0.03158
KIR2DS2,8,SIIISIIII,0.1,0.04912
KIR2DS2,10,IIIIIIIII,0.4,0.39541
KIR2DS2,10,IIIIIIIIS,0.05,0.0219
KIR2DS2,10,IIIIIIISI,0.05,0.05496
KIR2DS2,10,IIIIIISII,0.05,0.04864
KIR2DS2,10,IIISIIIII,0.05,0.03968
KIR2DS2,10,ISIIIIIII,0.1,0.07915
KIR2DS2,10,SIIIIIIII,0.15,0.2078
KIR2DS2,10,SIIIIISII,0.05,0.02473
KIR2DS2,10,SIIISIIII,0.1,0.05673
KIR2DS2,12,IIIIIIIII,0.4,0.41689
KIR2DS2,12,IIIIIIIIS,0.05,0.03506
KIR2DS2,12,IIIIIIISI,0.05,0.03281
KIR2DS2,12,IIIIIISII,0.05,0.04135
KIR2DS2,12,IIISIIIII,0.05,0.0466
KIR2DS2,12,ISIIIIIII,0.1,0.04936
KIR2DS2,12,SIIIIIIII,0.15,0.18146
KIR2DS2,12,SIIIIISII,0.05,0.02913
KIR2DS2,12,SIIISIIII,0.1,0.02544
KIR2DS2,14,IIIIIIIII,0.4,0.39179
KIR2DS2,14,IIIIIIIIS,0.05,0.03907
KIR2DS2,14,IIIIIIISI,0.05,0.02174
KIR2DS2,14,IIIIIISII,0.05,0.05154
KIR2DS2,14,IIISIIIII,0.05,0.04841
KIR2DS2,14,ISIIIIIII,0.1,0.08603
KIR2DS2,14,SIIIIIIII,0.15,0.19341
KIR2DS2,14,SIIIIISII,0.05,0.04018
KIR2DS2,14,SIIISIIII,0.1,0.03068
KIR2DS2,16,IIIIIIIII,0.4,0.39873
KIR2DS2,16,IIIIIIIIS,0.05,0.03431
KIR2DS2,16,IIIIIIISI,0.05,0.02137
KIR2DS2,16,IIIIIISII,0.05,0.0461
KIR2DS2,16,IIISIIIII,0.05,0.06274
KIR2DS2,16,ISIIIIIII,0.1,0.09788
KIR2DS2,16,SIIIIIIII,0.15,0.18668
KIR2DS2,16,SIIIIISII,0.05,0.03276
KIR2DS2,16,SIIISIIII,0.1,0.06445
KIR2DS2,18,IIIIIIIII,0.4,0.3885
KIR2DS2,18,IIIIIIIIS,0.05,0.04539
KIR2DS2,18,IIIIIIISI,0.05,0.04071
KIR2DS2,18,IIIIIISII,0.05,0.06253
KIR2DS2,18,IIISIIIII,0.05,0.03031
KIR2DS2,18,ISIIIIIII,0.1,0.12333
KIR2DS2,18,SIIIIIIII,0.15,0.16369
KIR2DS2,18,SIIIIISII,0.05,0.03439
KIR2DS2,18,SIIISIIII,0.1,0.09318
KIR2DS2,20,IIIIIIIII,0.4,0.43797
KIR2DS2,20,IIIIIIIIS,0.05,0.03838
KIR2DS2,20,IIIIIIISI,0.05,0.03999
KIR2DS2,20,IIIIIISII,0.05,0.04187
KIR2DS2,20,IIISIIIII,0.05,0.03269
KIR2DS2,20,ISIIIIIII,0.1,0.07485
KIR2DS2,20,SIIIIIIII,0.15,0.14145
KIR2DS2,20,SIIIIISII,0.05,0.03505
KIR2DS2,20,SIIISIIII,0.1,0.11111
