gene  n_components  unconfirmed_fraction
0   KIR2DL1             2               0.24191
1   KIR2DL1             4               0.20026
2   KIR2DL1             6               0.21352
3   KIR2DL1             8               0.22637
4   KIR2DL1            10               0.06970
5   KIR2DL1            12               0.02758
6   KIR2DL1            14               0.02453
7   KIR2DL1            16               0.00535
8   KIR2DL1            18               0.00450
9   KIR2DL1            20               0.00333
10  KIR2DL4             2               0.40278
11  KIR2DL4             4               0.24332
12  KIR2DL4             6               0.03974
13  KIR2DL4             8               0.01742
14  KIR2DL4            10               0.00362
15  KIR2DL4            12               0.03169
16  KIR2DL4            14               0.00172
17  KIR2DL4            16               0.00170
18  KIR2DL4            18               0.00135
19  KIR2DL4            20               0.00189
20  KIR2DS2             2               0.28727
21  KIR2DS2             4               0.18717
22  KIR2DS2             6               0.16755
23  KIR2DS2             8               0.13644
24  KIR2DS2            10               0.07100
25  KIR2DS2            12               0.14190
26  KIR2DS2            14               0.09715
27  KIR2DS2            16               0.05498
28  KIR2DS2            18               0.01797
29  KIR2DS2            20               0.04664
0  KIR2DS1             2               0.17992
1  KIR2DS1             4               0.14275
2  KIR2DS1             6               0.00756
3  KIR2DS1             8               0.00043
4  KIR2DS1            10               0.00757
5  KIR2DS1            12               0.00445
6  KIR2DS1            14               0.00698
7  KIR2DS1            16               0.00252
8  KIR2DS1            18               0.00442
9  KIR2DS1            20               0.00394

